seed,runtime_s
510000,26.856
510001,26.212
510002,28.355
510003,27.583
510004,25.783
510005,26.584
510006,27.271
510007,26.526
510008,27.691
510009,25.691
510010,27.467
510011,25.189
510012,25.493
510013,26.567
510014,28.054
510015,25.9
510016,27.185
510017,27.598
510018,27.052
510019,27.039
510020,26.5
510021,25.952
510022,27.664
510023,27.486
510024,26.941
510025,27.732
510026,26.084
510027,28.619
510028,27.324
510029,26.889
510030,27.147
510031,28.308
510032,28.009
510033,28.748
510034,27.803
510035,26.767
510036,29.17
510037,27.211
510038,25.64
510039,25.412
510040,26.368
510041,27.254
510042,24.7
510043,25.957
510044,27.871
510045,26.281
510046,26.963
510047,26.955
510048,26.149
510049,26.439
510050,24.21
510051,24.579
510052,25.405
510053,28.168
510054,27.529
510055,27.078
510056,26.209
510057,27.531
510058,25.937
510059,27.426
510060,25.826
510061,26.456
510062,24.853
510063,24.874
510064,25.232
510065,26.867
510066,26.826
510067,28.801
510068,26.694
510069,27.854
510070,26.994
510071,26.79
510072,26.157
510073,29.111
510074,26.737
510075,27.51
510076,25.285
510077,26.734
510078,28.366
510079,25.313
510080,27.156
510081,26.094
510082,25.362
510083,27.01
510084,26.2
510085,26.903
510086,26.221
510087,28.256
510088,27.778
510089,28.626
510090,29.131
510091,28.399
510092,28.295
510093,28.835
510094,28.206
510095,29.84
510096,28.757
510097,27.537
510098,29.424
510099,26.991
peak_rss_mb,1156.9
