seed,runtime_s
610000,49.575
610001,43.791
610002,42.85
610003,42.52
610004,42.082
610005,44.851
610006,42.662
610007,40.76
610008,40.974
610009,41.518
610010,42.075
610011,42.918
610012,42.592
610013,43.981
610014,42.493
610015,41.951
610016,41.806
610017,41.735
610018,41.892
610019,41.716
610020,42.124
610021,44.329
610022,42.704
610023,42.291
610024,41.778
610025,43.087
610026,43.775
610027,43.701
610028,44.521
610029,43.141
610030,42.859
610031,42.378
610032,42.2
610033,42.236
610034,43.731
610035,44.297
610036,45.699
610037,43.447
610038,41.877
610039,42.778
610040,42.273
610041,41.941
610042,43.238
610043,46.446
610044,45.453
610045,43.06
610046,42.327
610047,42.401
610048,42.388
610049,42.814
610050,42.555
610051,42.031
610052,41.213
610053,42.359
610054,41.935
610055,41.355
610056,41.664
610057,41.806
610058,43.696
610059,42.008
610060,43.261
610061,43.036
610062,42.722
610063,42.929
610064,40.905
610065,41.189
610066,41.992
610067,41.425
610068,41.95
610069,41.419
610070,40.549
610071,41.066
610072,41.289
610073,41.617
610074,43.195
610075,41.861
610076,42.515
610077,41.919
610078,42.227
610079,41.957
610080,41.909
610081,43.154
610082,41.302
610083,41.291
610084,41.41
610085,41.963
610086,41.816
610087,41.867
610088,42.099
610089,42.226
610090,42.092
610091,42.6
610092,42.698
610093,41.43
610094,42.243
610095,41.98
610096,42.266
610097,42.374
610098,40.722
610099,41.762
peak_rss_mb,1002.1
