index	country	year	gdp	infrate	trade	schooling	invest60	invest70	invest80	industry	pop	deflator_fred
1	"USA"	1960	2879		9.693181037902832	43.79999923706055					180671	15.495
1	"USA"	1961	2929	1.0751819610595703	9.44465446472168						183692	15.66
1	"USA"	1962	3103	1.1160709857940674	9.42932415008545						186538	15.85
1	"USA"	1963	3227	1.214128017425537	9.47070598602295						189242	16.032
1	"USA"	1964	3420	1.30861496925354	9.725878715515137						191889	16.276
1	"USA"	1965	3667	1.6684609651565552	9.7303466796875	43.79999923706055					194303	16.574
1	"USA"	1966	3974	2.990999937057495	10.0975923538208						196560	17.039
1	"USA"	1967	4154	2.7756359577178955	10.208102226257324						198712	17.533
1	"USA"	1968	4494	4.217720985412598	10.593936920166016						200706	18.28
1	"USA"	1969	4805	5.414700984954834	10.63563346862793						202677	19.176
1	"USA"	1970	4999	5.895296096801758	11.388641357421875	44.400001525878906					205052	20.189
1	"USA"	1971	5362	4.255928993225098	11.367575645446777					34.508628845214844	207661	21.212
1	"USA"	1972	5838	3.305614948272705	11.967158317565918					34.44429016113281	209896	22.13
1	"USA"	1973	6464	6.220064163208008	13.7135648727417					34.37520980834961	211909	23.342
1	"USA"	1974	6951	11.035260200500488	17.31613540649414					34.03606033325195	213854	25.443
1	"USA"	1975	7519	9.131930351257324	16.379690170288086	42.599998474121094				33.225669860839844	215973	27.8
1	"USA"	1976	8300	5.737027168273926	16.873659133911133					33.76084899902344	218035	29.33
1	"USA"	1977	9146	6.486460208892822	17.220590591430664					34.26464080810547	220239	31.152
1	"USA"	1978	10229	7.647463798522949	17.806190490722656					34.0372314453125	222585	33.343
1	"USA"	1979	11306	11.266039848327637	19.280546188354492					33.62648010253906	225056	36.11
1	"USA"	1980	12186	13.509369850158691	21.081579208374023	62.900001525878906	0.2388399988412857	0.24568000435829163	22.375999450683594	33.51438903808594	227225	39.371
1	"USA"	1981	13533	10.315529823303223	20.36324119567871					34.088279724121094	229466	43.097
1	"USA"	1982	13940	6.160615921020508	18.471620559692383					32.909690856933594	231665	45.759
1	"USA"	1983	15008	3.212435007095337	17.62430763244629					31.49721908569336	233792	47.552
1	"USA"	1984	16549	4.3172688484191895	18.57701301574707					31.872779846191406	235825	49.267
1	"USA"	1985	17600	3.5611159801483154	17.64240837097168	57.400001525878906				30.864519119262695	237924	50.826
1	"USA"	1986	18439	1.8587360382080078	17.954124450683594					29.443260192871094	240133	51.849
1	"USA"	1987	19407	3.7408759593963623	19.116186141967773					29.199729919433594	242289	53.134
1	"USA"	1988	20711	4.009088039398193	20.33081817626953					29.606489181518555	244499	55.008
1	"USA"	1989	22047	4.827003002166748	20.73029327392578					28.61903953552246	246819	57.165
1	"USA"	1990	23064	5.397955894470215	21.187950134277344	44.400001525878906				27.85032081604004	249623	59.305
1	"USA"	1991	23507	4.234963893890381	21.26634979248047					26.620059967041016	252981	61.31
1	"USA"	1992	24509	3.028820037841797	21.54220962524414					25.728429794311523	256514	62.707
1	"USA"	1993	25409	2.9516570568084717	21.557649612426758					25.610010147094727	259919	64.194
1	"USA"	1994	26670	2.6074419021606445	22.61821937561035					26.082950592041016	263126	65.564
1	"USA"	1995	27574	2.805419921875	24.27397918701172	44.599998474121094				26.292850494384766	266278	66.939
1	"USA"	1996	28814	2.931204080581665	24.582469940185547					25.785400390625	269394	68.164
1	"USA"	1997	30262	2.3376901149749756	25.59153938293457					25.38429069519043	272647	69.34
1	"USA"	1998	31519	1.552278995513916	24.690568923950195					25.018840789794922	275854	70.119
1	"USA"	1999	33028	2.1880269050598145						24.72504997253418	279040	71.111
1	"USA"	2000	34603	3.376857042312622		39.599998474121094				24.44348907470703	282192	72.722
1	"USA"	2001	35341	2.8261709213256836						23.048580169677734	285102	74.36
1	"USA"	2002	36180	1.5860320329666138							287941	75.515
1	"USA"	2003	37548	2.270095109939575							290789	77.006
2	"UK"	1960	2158		43.255470275878906	24.5					52373	
2	"UK"	1961	2216	3.5794179439544678	41.533241271972656						52807	
2	"UK"	1962	2276	4.103672027587891	40.404632568359375						53292	
2	"UK"	1963	2386	2.0746889114379883	40.406585693359375						53625	
2	"UK"	1964	2534	3.2113819122314453	40.51876449584961						53991	
2	"UK"	1965	2660	4.8050408363342285	39.225337982177734	26.5					54350	
2	"UK"	1966	2794	3.9083049297332764	38.96463394165039						54643	
2	"UK"	1967	2923	2.4231460094451904	39.31318664550781						54959	
2	"UK"	1968	3173	4.731637954711914	43.665130615234375						55214	
2	"UK"	1969	3391	5.461902141571045	44.03898239135742						55461	
2	"UK"	1970	3615	6.361893177032471	45.247737884521484	28.899999618530273					55632	
2	"UK"	1971	3854	9.407875061035156	44.93339920043945					43.078590393066406	55907	
2	"UK"	1972	4149	7.087912082672119	43.559043884277344					42.560081481933594	56079	
2	"UK"	1973	4683	9.209851264953613	49.80358123779297					42.135398864746094	56210	
2	"UK"	1974	5036	15.903220176696777	60.962120056152344					41.623748779296875	56224	
2	"UK"	1975	5481	24.23508071899414	53.56206130981445	31				40.48817825317383	56215	
2	"UK"	1976	5953	16.532550811767578	58.1697883605957					41.08992004394531	56206	
2	"UK"	1977	6489	15.881979942321777	59.42041778564453					41.33041000366211	56179	
2	"UK"	1978	7176	8.215962409973145	55.65679168701172					41.4658088684082	56167	
2	"UK"	1979	7973	13.465709686279297	55.69035339355469					41.82387161254883	56227	
2	"UK"	1980	8502	17.970590591430664	52.326873779296875	32.900001525878906	0.20080000162124634	0.2260199934244156	17.58799934387207	42.34629821777344	56330	
2	"UK"	1981	9161	11.879830360412598	50.51420974731445					41.89466094970703	56358	
2	"UK"	1982	9917	8.590529441833496	50.75240707397461					41.49169158935547	56291	
2	"UK"	1983	10669	4.607017993927002	52.09130096435547					40.901451110839844	56316	
2	"UK"	1984	11336	4.953409194946289	57.004329681396484					40.38235855102539	56409	
2	"UK"	1985	12068	6.065421104431152	56.62236404418945	35.70000076293945				39.762779235839844	56554	
2	"UK"	1986	12795	3.42761492729187	52.056396484375					39.13433837890625	56684	
2	"UK"	1987	13717	4.148918151855469	51.93616485595703					38.030521392822266	56804	
2	"UK"	1988	14864	4.907976150512695	49.6491813659668					37.212989807128906	56917	
2	"UK"	1989	15716	7.797270774841309	51.6456298828125					36.629669189453125	57077	
2	"UK"	1990	16397	9.475587844848633	51.46746063232422	38.5				35.17424011230469	57238	
2	"UK"	1991	16681	5.853981018066406	48.209381103515625					33.127010345458984	57439	
2	"UK"	1992	17069	3.7326009273529053	49.34975814819336					31.88966941833496	57585	
2	"UK"	1993	17845	1.5644739866256714	52.593631744384766					31.27092933654785	57714	
2	"UK"	1994	18975	2.476449966430664	54.25775909423828					31.693330764770508	57862	
2	"UK"	1995	19860	3.4109959602355957	57.8968391418457	39.900001525878906				31.99648094177246	58025	
2	"UK"	1996	20923	2.4487059116363525	59.849578857421875					31.867259979248047	58164	
2	"UK"	1997	22280	3.1323330402374268	57.84053039550781					31.074129104614258	58314	
2	"UK"	1998	23206	3.4181699752807617	55.98906326293945					29.460920333862305	58475	
2	"UK"	1999	23959	1.5553849935531616						28.598770141601562	58684	
2	"UK"	2000	25583	2.9270999431610107		39.099998474121094				28.47661018371582	58886	
2	"UK"	2001	27026	1.8208520412445068						27.47551918029785	59114	
2	"UK"	2002	28969	1.6344579458236694						26.990379333496094	59322	
2	"UK"	2003	29609	2.9136319160461426						26.590160369873047	59554	
3	"Austria"	1960	1796		48.126094818115234	48.70000076293945					7047	
3	"Austria"	1961	1899	3.5422561168670654	46.52595901489258						7087	
3	"Austria"	1962	1977	4.381784915924072	47.17101287841797						7130	
3	"Austria"	1963	2074	2.7087700366973877	47.97725296020508						7176	
3	"Austria"	1964	2224	3.8685710430145264	48.415096282958984						7224	
3	"Austria"	1965	2336	4.930911064147949	49.61330032348633	47.599998474121094					7271	
3	"Austria"	1966	2537	2.2058820724487305	50.316410064697266						7322	
3	"Austria"	1967	2668	3.9749999046325684	49.68385314941406						7377	
3	"Austria"	1968	2908	2.7731029987335205	50.41091537475586						7415	
3	"Austria"	1969	3239	3.08040189743042	54.232513427734375						7441	
3	"Austria"	1970	3732	4.3728251457214355	59.71196365356445	46.5					7467	
3	"Austria"	1971	4100	4.704261779785156	59.185367584228516					41.218509674072266	7500	
3	"Austria"	1972	4513	6.362062931060791	59.090919494628906					41.525630950927734	7544	
3	"Austria"	1973	4969	7.524082183837891	59.262428283691406					42.236820220947266	7586	
3	"Austria"	1974	5622	9.521791458129883	64.81172943115234					42.26026916503906	7599	
