year,gap,synthetic
1970,5.897337611489078,117.10266238851092
1971,2.087612056696173,118.91238794330383
1972,-0.8016337258796398,124.30163372587964
1973,-1.0621333054064905,125.46213480540649
1974,-0.28837238646977426,126.98836928646978
1975,5.094524624382757e-08,127.09999844905475
1976,0.12156365653896728,127.87843634346103
1977,0.6476597653915519,125.75234173460845
1978,1.0996096052794542,125.00038889472054
1979,-1.0282970762438595,122.92829857624386
1980,-0.27231106928738313,120.47230796928739
1981,-1.6003598173082594,120.20035831730826
1982,-1.4785069384498541,116.87850843844986
1983,-0.5204093898301352,111.32041248983013
1984,1.4377718363194418,103.36223126368056
1985,-0.43009063076300436,103.230093730763
1986,-0.12095154208711278,99.82094849208711
1987,-2.234150372018334,99.73415037201833
1988,-1.5540283515183546,91.65402682151836
1989,-7.589491713206783,89.98949324320678
1990,-9.697756340369963,87.49775939036996
1991,-13.452478211876326,82.15247516187632
1992,-14.085779559748445,81.58577955974845
1993,-17.768148863951183,81.16815039395118
1994,-22.105014447130216,80.70501291713022
1995,-22.076042056428832,78.47604358642883
1996,-22.961464104251803,77.4614641042518
1997,-23.894651291747017,77.69465053174702
1998,-22.068557502130766,74.36855674213076
1999,-26.34796487068629,73.54796563068629
2000,-25.732646002496537,67.33264447249654
