unit,rmse,k,d,p_align,r_align,label,stability_pass,boot_donor_q05,boot_donor_q95
Alabama,1.9783941864309584,2,2892.8550015683245,0.0004997501249375312,12.294287831846516,RECOVERABLE,False,1902.7809560173332,4567.04868189297
Arkansas,2.1321085486031417,2,2894.6132065879488,0.0004997501249375312,12.42290352199035,RECOVERABLE,False,2037.3770668329107,4537.622020163227
Colorado,4.3556252148166115,2,2815.005799580025,0.0004997501249375312,10.499485914098162,RECOVERABLE,False,1838.817451591516,4483.4177693243155
Connecticut,4.8379923803042795,2,2892.152072242466,0.1054472763618191,3.019227217870769,FRAGILE-MISALIGNED,False,1993.6824563273021,4513.860153437384
Delaware,5.971710321868524,2,2883.1341614056055,0.0004997501249375312,8.098490212536793,RECOVERABLE,False,1834.6587899230383,4521.080433413757
Georgia,1.1881393948798333,2,2894.6674500938807,0.0004997501249375312,11.545367738840609,RECOVERABLE,False,1934.1310992661972,4489.045877854702
Idaho,2.3341518109318495,2,2801.0296100315823,0.0004997501249375312,12.163675799712955,RECOVERABLE,False,1894.2362318599098,4298.654915356568
Illinois,2.5909184604406774,2,2856.3579438215,0.0004997501249375312,11.501797873341383,RECOVERABLE,False,1838.0182925765478,4330.968772405938
Indiana,3.7681893492302776,2,2823.0815862102045,0.0004997501249375312,9.9652001026375,RECOVERABLE,False,1874.699409263485,4457.21699028944
Iowa,3.3057508266181173,2,2854.9941406812395,0.0004997501249375312,10.467187199349963,RECOVERABLE,False,1862.7921029283016,4293.482863564814
Kansas,3.679860140956849,2,2865.283524808737,0.0004997501249375312,10.680078469687889,RECOVERABLE,False,1869.7049906978305,4479.867982649238
Kentucky,20.770563823705654,2,2655.923711443177,0.0004997501249375312,11.760875906570341,RECOVERABLE,False,1714.0255046384857,4280.148532030247
Louisiana,1.4993092737329297,2,2849.3498297859614,0.0004997501249375312,11.348263287982142,RECOVERABLE,False,1884.5294888091844,4428.942796646154
Maine,3.0584566066974297,2,2861.817717160638,0.0004997501249375312,11.081973157266773,RECOVERABLE,False,1945.3882060499755,4518.384703862847
Minnesota,3.887393178626662,2,2883.2825822003474,0.001999000499750125,6.9799029720432815,RECOVERABLE,False,1965.6602088625186,4324.103599310492
Mississippi,2.0286037043682583,2,2880.6447822353684,0.0004997501249375312,11.696503598706819,RECOVERABLE,False,1864.368474412966,4267.5473754019295
Missouri,1.041642116056143,2,2880.613040567247,0.0004997501249375312,11.7816505291527,RECOVERABLE,False,1949.0361903681521,4439.637498797209
Montana,2.300108691824258,2,2806.5843548978323,0.0004997501249375312,11.08930670576745,RECOVERABLE,False,1776.5458139931484,4414.055736497795
Nebraska,2.30483164585007,2,2871.7810263675424,0.0004997501249375312,10.303586514354308,RECOVERABLE,False,1921.3485500192794,4355.420791713857
Nevada,7.032477562229636,3,2649.3924669488133,0.0004997501249375312,6.935008489122688,RECOVERABLE,False,1840.096866628275,4138.887967834303
New Hampshire,59.03776176729309,2,2362.042020053905,0.0004997501249375312,11.584102158317526,RECOVERABLE,False,1613.2787685026824,3349.730074161778
New Mexico,1.9195761985845425,2,2856.7848877149636,0.0004997501249375312,11.853312767777975,RECOVERABLE,False,1907.8657970917698,4389.968196427112
North Carolina,9.021625417124495,2,2454.913519067312,0.0004997501249375312,11.160366454339956,RECOVERABLE,False,1702.9472708348712,3598.6115091052266
North Dakota,2.8340111864046778,2,2825.3661926603017,0.0004997501249375312,12.16399495330908,RECOVERABLE,False,1775.253576440112,4358.066653418857
Ohio,1.3982627798513183,2,2894.3219987151456,0.0004997501249375312,7.997116801690948,RECOVERABLE,False,2008.1171886068269,4356.675042935097
Oklahoma,2.19354300521541,2,2833.366616904589,0.0004997501249375312,11.769529678245284,RECOVERABLE,False,1867.5095117335584,4352.350406273595
Pennsylvania,1.6291358586921434,2,2888.4953308911686,0.0004997501249375312,11.47072631133574,RECOVERABLE,False,1896.616193114196,4483.82510744481
Rhode Island,4.036345562321349,2,2862.9555193352576,0.0004997501249375312,9.347296547174611,RECOVERABLE,False,1909.7133335534547,4449.580179438389
South Carolina,1.4830967280256833,2,2880.8082290327816,0.0004997501249375312,10.834718218347298,RECOVERABLE,False,1914.3272095057264,4597.748089578422
South Dakota,2.7216519342198806,2,2860.1659906272375,0.0004997501249375312,13.00447272623307,RECOVERABLE,False,1844.1773920756712,4521.082182008041
Tennessee,2.2812673069484433,2,2893.7148673177826,0.0004997501249375312,11.905709807153412,RECOVERABLE,False,1884.4949718839628,4439.252610014491
Texas,2.1204266546151223,2,2871.9088029855347,0.0004997501249375312,9.75319096004155,RECOVERABLE,False,1891.3492179056668,4531.841985804119
Utah,24.367277630472724,2,2871.5936981126024,0.0004997501249375312,11.727796045764748,RECOVERABLE,False,1896.6174927987306,4597.967739379313
Vermont,3.7611535178667066,2,2793.938166979694,0.0004997501249375312,12.260237675279948,RECOVERABLE,False,1823.4070103761737,4431.617564443367
Virginia,1.6573989171054233,2,2842.9205801535527,0.0004997501249375312,11.915836643466731,RECOVERABLE,False,1888.8653410296238,4553.921924567705
West Virginia,2.8426938450515733,2,2863.8823890940735,0.0004997501249375312,10.403878028848805,RECOVERABLE,False,1928.6933587916599,4477.4770732390025
Wisconsin,1.564151218022596,2,2881.743615204019,0.0004997501249375312,10.232879885216793,RECOVERABLE,False,1868.469257890304,4312.040859931766
Wyoming,6.95430854206484,2,2719.591627468587,0.0004997501249375312,11.230635836368473,RECOVERABLE,False,1727.5690220131316,4377.907457350515
