cell_id,rep_seed,p_post,z_post,rmse_spectral
delta0,18000,0.069767,0.985904,1.704283
delta0,18001,0.003322,5.191631,1.599747
delta0,18002,0.44186,-1.079012,1.080368
delta0,18003,0.774086,-2.275332,1.261002
delta0,18004,0.86711,-2.620457,1.24368
delta0,18005,0.518272,-1.319943,1.402662
delta0,18006,0.418605,-0.977886,1.309278
delta0,18007,0.518272,-1.340348,1.296464
delta0,18008,0.418605,-0.976687,1.438993
delta0,18009,0.750831,-2.172844,1.234396
delta0,18010,0.053156,1.10133,1.258881
delta0,18011,0.58804,-1.559002,1.209399
delta0,18012,0.498339,-1.251146,1.295199
delta0,18013,0.009967,3.618201,1.387254
delta0,18014,0.388704,-0.846469,1.147397
delta0,18015,0.189369,0.145964,1.197411
delta0,18016,0.285714,-0.440954,1.290406
delta0,18017,0.730897,-2.086558,1.06941
delta0,18018,0.637874,-1.76387,1.479113
delta0,18019,0.272425,-0.366975,1.368882
delta0,18020,0.202658,0.083752,1.207539
delta0,18021,0.421927,-1.008263,1.189628
delta0,18022,0.119601,0.615631,1.231032
delta0,18023,0.69103,-1.920794,1.36104
delta0,18024,0.51495,-1.309901,1.276161
delta0,18025,0.58804,-1.560783,1.324906
delta0,18026,0.69103,-1.949049,1.095596
delta0,18027,0.093023,0.758888,1.164526
delta0,18028,0.860465,-2.5664,1.329952
delta0,18029,0.61794,-1.66092,1.17631
delta0,18030,0.043189,1.319207,1.08957
delta0,18031,0.232558,-0.220385,1.262625
delta0,18032,0.920266,-3.002428,1.151438
delta0,18033,0.76412,-2.239192,1.384931
delta0,18034,0.043189,1.301262,1.266003
delta0,18035,0.033223,1.683502,1.261879
delta0,18036,0.750831,-2.203732,1.010026
delta0,18037,0.222591,-0.177357,1.300608
delta0,18038,0.059801,1.033582,1.338568
delta0,18039,0.61794,-1.680443,1.134229
delta0,18040,0.222591,-0.1719,1.174661
delta0,18041,0.750831,-2.210178,1.265489
delta0,18042,0.23588,-0.236331,1.435238
delta0,18043,0.368771,-0.753611,1.110491
delta0,18044,0.192691,0.12985,1.418748
delta0,18045,0.046512,1.166275,1.503364
delta0,18046,0.069767,0.975107,1.237413
delta0,18047,0.760797,-2.22026,1.110959
delta0,18048,0.55814,-1.520933,1.194351
delta0,18049,0.019934,2.638169,1.209798
delta0,18050,0.584718,-1.549512,1.289228
delta0,18051,0.936877,-3.127896,1.067616
delta0,18052,0.518272,-1.335982,1.396256
delta0,18053,0.747508,-2.13579,1.181278
delta0,18054,0.003322,5.290134,1.434139
delta0,18055,0.292359,-0.458501,1.25599
delta0,18056,0.730897,-2.085805,1.273486
delta0,18057,0.614618,-1.642742,1.230448
delta0,18058,0.833887,-2.465266,1.291983
delta0,18059,0.139535,0.511671,1.382532
delta0,18060,0.189369,0.144389,1.211218
delta0,18061,0.784053,-2.302184,1.311021
delta0,18062,0.614618,-1.629923,1.364746
delta0,18063,0.943522,-3.202162,1.322011
delta0,18064,0.003322,7.072935,1.418349
delta0,18065,0.262458,-0.333623,1.254299
delta0,18066,0.9701,-3.706871,1.285207
delta0,18067,0.019934,2.706036,1.221778
delta0,18068,0.671096,-1.85851,1.24343
delta0,18069,0.275748,-0.410263,1.385769
delta0,18070,0.036545,1.587486,1.360473
delta0,18071,0.674419,-1.863595,1.23652
delta0,18072,0.033223,2.129435,1.333646
delta0,18073,0.093023,0.778962,1.175341
delta0,18074,0.883721,-2.70876,1.315017
delta0,18075,0.043189,1.419607,1.342021
delta0,18076,0.398671,-0.891013,1.156761
delta0,18077,0.750831,-2.184869,1.57449
delta0,18078,0.023256,2.407622,1.282063
delta0,18079,0.255814,-0.319699,1.29543
delta0,18080,0.79402,-2.316202,1.334864
delta0,18081,0.548173,-1.494349,1.10408
delta0,18082,0.033223,1.802232,1.310498
delta0,18083,0.398671,-0.892609,1.208069
delta0,18084,0.524917,-1.420108,1.116097
delta0,18085,0.594684,-1.57909,1.269381
delta0,18086,0.043189,1.377095,1.301261
delta0,18087,0.375415,-0.826727,1.259868
delta0,18088,0.475083,-1.192433,1.208029
delta0,18089,0.501661,-1.272273,1.315601
delta0,18090,0.993355,-4.195957,1.251882
delta0,18091,0.820598,-2.427912,1.189808
delta0,18092,0.139535,0.484395,1.357142
delta0,18093,0.003322,7.831399,1.378193
delta0,18094,0.966777,-3.567897,1.305773
delta0,18095,0.202658,0.103211,1.344068
delta0,18096,0.202658,0.087803,1.362015
delta0,18097,0.76412,-2.238818,1.144834
delta0,18098,0.212625,-0.072608,1.314676
delta0,18099,0.099668,0.690937,1.379848
delta0,18100,0.966777,-3.525165,1.281507
delta0,18101,0.677741,-1.873297,1.266894
delta0,18102,0.750831,-2.192961,1.213903
delta0,18103,0.863787,-2.612645,1.175833
delta0,18104,0.295681,-0.508072,1.291455
delta0,18105,0.973422,-3.75177,1.268674
delta0,18106,0.571429,-1.529232,1.098784
delta0,18107,0.033223,1.725069,1.400551
delta0,18108,0.531561,-1.45353,1.296092
delta0,18109,0.033223,2.247278,1.530814
delta0,18110,0.471761,-1.175573,1.089947
delta0,18111,0.219269,-0.154741,1.26131
delta0,18112,0.036545,1.601644,1.44777
delta0,18113,0.245847,-0.260094,1.143697
delta0,18114,0.727575,-2.058097,1.281225
delta0,18115,0.126246,0.583225,1.182577
delta0,18116,0.202658,0.07563,1.150413
delta0,18117,0.418605,-0.969124,1.445669
delta0,18118,0.033223,2.272864,1.161284
delta0,18119,0.215947,-0.120204,1.373009
delta0,18120,0.179402,0.195636,1.210992
delta0,18121,0.621262,-1.699613,1.338743
delta0,18122,0.013289,2.965598,1.629094
delta0,18123,0.468439,-1.157012,1.159656
delta0,18124,0.421927,-0.993514,1.276408
delta0,18125,0.212625,-0.111638,1.220665
delta0,18126,0.315615,-0.582585,1.278326
delta0,18127,0.883721,-2.724951,1.216957
delta0,18128,0.813953,-2.401187,1.218059
delta0,18129,0.089701,0.812955,1.276097
delta0,18130,0.637874,-1.761449,1.246879
delta0,18131,0.840532,-2.483808,1.252737
delta0,18132,0.963455,-3.470695,1.205573
delta0,18133,0.750831,-2.17401,1.370814
delta0,18134,0.518272,-1.348677,1.243405
delta0,18135,0.013289,2.989197,1.249298
delta0,18136,0.009967,3.830096,1.378777
delta0,18137,0.647841,-1.794585,1.230895
delta0,18138,0.30897,-0.546036,1.277928
delta0,18139,0.830565,-2.454218,1.239499
